Empresa,constituicao,porte,empregados99,faturamento98,faturamento99,idade,cidade,atividade,setor,regiao
38,S.A.,Grande,91,472682,475937,12,São Paulo,Outros artigos de material plástico,Outros ,sudeste
39,S.A.,Média,29,291238,253350,28,Belo Horizonte,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
40,S.A.,Grande,220,497160,457824,10,Salvador,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",nordeste
41,S.A.,Média,44,283963,260987,24,Salvador,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,nordeste
42,Ltda.,Grande,206,483025,488012,4,São Paulo,Artigos de material plástico para uso industrial,Industrial,sudeste
43,S.A.,Grande,206,466743,516386,10,Salvador,Artigos de material plástico para uso industrial,Industrial,nordeste
44,Individual,Média,50,291847,255665,19,Belo Horizonte,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",sudeste
45,Individual,Média,11,243888,324430,28,Belo Horizonte,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",sudeste
46,Ltda.,Média,30,283705,288154,10,Porto Alegre,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sul
47,S.A.,Média,18,271651,300492,11,Salvador,Artigos para embalagens e acondicionamento,Embalagens ,nordeste
48,S.A.,Média,23,274984,300945,19,Porto Alegre,Artigos para embalagens e acondicionamento,Embalagens ,sul
49,S.A.,Média,22,273963,307433,21,São Paulo,Artigos de material plástico para uso industrial,Industrial,sudeste
50,Ltda.,Média,38,267098,318066,8,São Paulo,Artigos de material plástico para uso industrial,Industrial,sudeste
51,S.A.,Média,23,321492,264055,3,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
52,Individual,Média,42,307483,281512,12,São Paulo,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sudeste
53,S.A.,Média,32,316176,276904,27,Curitiba,Artigos de material plástico para uso industrial,Industrial,sul
54,S.A.,Média,27,360921,232339,8,São Paulo,Artigos de material plástico para uso industrial,Industrial,sudeste
55,Ltda.,Média,30,348566,249779,29,Salvador,Laminados plásticos,Laminados plásticos,nordeste
56,S.A.,Média,44,326889,273815,16,Belo Horizonte,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
57,S.A.,Média,36,272753,331536,10,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
58,S.A.,Média,42,259690,350229,39,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
59,Ltda.,Média,35,326039,284077,25,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
60,S.A.,Média,38,272090,345876,20,São Paulo,Outros artigos de material plástico,Outros ,sudeste
61,S.A.,Média,24,289796,328605,15,Curitiba,Laminados plásticos,Laminados plásticos,sul
62,Individual,Média,28,260877,359387,3,Porto Alegre,Artigos de material plástico para uso industrial,Industrial,sul
63,S.A.,Média,17,264334,356993,22,Belo Horizonte,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sudeste
64,Ltda.,Média,25,320095,315930,29,São Paulo,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sudeste
65,S.A.,Média,23,313234,326302,4,Belo Horizonte,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sudeste
66,S.A.,Média,35,348585,294432,27,Salvador,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,nordeste
67,S.A.,Média,47,356503,305449,3,Rio de Janeiro,Outros artigos de material plástico,Outros ,sudeste
68,S.A.,Média,23,299018,366239,7,Rio de Janeiro,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sudeste
69,S.A.,Média,21,370828,301754,25,Belo Horizonte,Artigos de material plástico para uso industrial,Industrial,sudeste
70,S.A.,Média,60,383832,290869,26,Salvador,Artigos de material plástico para uso industrial,Industrial,nordeste
71,Ltda.,Média,20,315350,360052,15,Salvador,Artigos de material plástico para uso industrial,Industrial,nordeste
72,S.A.,Média,17,368456,307607,30,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
73,Ltda.,Média,56,335385,340748,9,Curitiba,Artigos para embalagens e acondicionamento,Embalagens ,sul
74,S.A.,Média,46,310372,370264,5,São Paulo,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
75,Ltda.,Média,41,319726,370787,15,Porto Alegre,Laminados plásticos,Laminados plásticos,sul
76,Ltda.,Média,24,360593,349335,21,Rio de Janeiro,Laminados plásticos,Laminados plásticos,sudeste
77,Ltda.,Média,28,348508,362067,2,Porto Alegre,Artigos para embalagens e acondicionamento,Embalagens ,sul
78,S.A.,Média,30,386554,328146,2,Salvador,Artigos para embalagens e acondicionamento,Embalagens ,nordeste
79,Ltda.,Média,46,344680,375665,15,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
80,Ltda.,Média,21,368768,351818,18,Salvador,Outros artigos de material plástico,Outros ,nordeste
81,Individual,Média,46,398047,326364,9,Porto Alegre,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sul
82,Ltda.,Média,24,295054,432277,34,Porto Alegre,Artigos de material plástico para uso industrial,Industrial,sul
83,S.A.,Média,16,400795,327650,17,Salvador,Artigos de material plástico para uso industrial,Industrial,nordeste
84,Ltda.,Média,29,367105,362665,14,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
85,S.A.,Média,27,413024,320310,8,São Paulo,Artigos de material plástico para uso industrial,Industrial,sudeste
86,S.A.,Média,53,383459,352395,5,Salvador,Artigos para embalagens e acondicionamento,Embalagens ,nordeste
87,S.A.,Média,45,321329,415487,10,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
88,Ltda.,Média,31,407572,330483,25,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
89,S.A.,Média,44,346294,398469,17,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
90,S.A.,Média,40,327276,420185,29,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
91,S.A.,Média,34,327275,430286,10,São Paulo,Outros artigos de material plástico,Outros ,sudeste
92,Individual,Média,37,353203,407508,22,Salvador,Artigos de material plástico para uso industrial,Industrial,nordeste
93,S.A.,Média,20,434709,339250,11,Rio de Janeiro,Artigos de material plástico para uso industrial,Industrial,sudeste
94,S.A.,Média,34,434240,347966,8,Belo Horizonte,Outros artigos de material plástico,Outros ,sudeste
95,S.A.,Média,21,398195,388490,19,São Paulo,Artigos de material plástico para uso domiciliar e pessoal,Domiciliar e pessoal,sudeste
96,Ltda.,Média,34,410251,379857,20,Rio de Janeiro,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
97,S.A.,Média,32,400894,389499,29,Salvador,Outros artigos de material plástico,Outros ,nordeste
98,S.A.,Grande,206,531233,472608,24,São Paulo,Artigos de material plástico para uso industrial,Industrial,sudeste
99,S.A.,Grande,176,526883,550845,4,São Paulo,Laminados plásticos,Laminados plásticos,sudeste
100,S.A.,Grande,320,569711,521585,3,Salvador,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",nordeste
101,S.A.,Grande,230,503201,560760,6,Rio de Janeiro,Outros artigos de material plástico,Outros ,sudeste
102,S.A.,Grande,189,569803,589700,5,Belo Horizonte,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",sudeste
103,Individual,Pequena,15,238903,257606,9,Belo Horizonte,Laminados plásticos,Laminados plásticos,sudeste
104,Individual,Pequena,10,197500,213456,4,Belo Horizonte,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
105,Individual,Pequena,13,235643,243221,7,Belo Horizonte,Artigos para embalagens e acondicionamento,Embalagens ,sudeste
102,S.A.,Grande,200,674067,685430,8,Rio de Janeiro,"Manilhas, canos e conexões de material plástico","Manilhas, canos e conexões ",sudeste
